start	end	text
358	10142	Second Wealsun in the city of Monmurg, Merrick and Gouge interacting with Lord Jamis.
12884	18506	It is in certain times in Monmurg a city perched precariously on the edge of prosperity and ruin.
19346	29331	It was the month of Wealsun in the 579th common year of Keoland's calendar and the air was thick with the scent of desperation.
30537	39902	Monmurg, the jewel of the Azure Sea, had long thrived on the lifeblood trade, its veins pulsing with the wealth of nations near and far.
40983	47447	Yet now the very arteries that sustained it were severed, and the city found itself gasping for survival.
49248	59073	In the past, Monmurg's formidable navy had been the guardian of its prosperity, its ships slicing through the azure waves with the grace and power of a predator.
60014	72240	The sea lanes were its domain, and the nations of Onwal, Irongate, and beyond paid homage in the form of trade, their vessels laden with riches destined for Monmurg's bustling markets.
73491	84665	From the fertile lands of the Yonery came cheeses and meats, while the duchy of Berthof sent grains and rice, the bounty of their vast plantations.
85986	92374	The city was a hub of commerce, its docks a cacophony of voices and a clatter of goods exchanged.
93707	95288	But now the tides had turned.
95848	105813	Keoland, a powerful rival, had openly declared war, casting a shadow over the sea principalities as the Keog Navy blockaded the trade lines.
107094	118920	The blockade was a noose tighten around Monmurg's neck, and the once bustling trade routes lay silent, their ships diverted to Red Shore by the cunning Duke of Gradsul.
120505	130649	His navy, though inferior in might, had somehow outmaneuvered the Monmurian fleet, leaving the city bewildered and beleaguered.
131950	142875	Whispers of supernatural forces and treacherous storms swirled through the taverns and marketplaces as the people of Monmurg searched for answers in this chaos.
144282	145503	The situation was dire.
146144	151969	The traders who would brave the blockade found themselves trapped in a city teetering on the brink of famine.
152770	159956	The foreign district was a tinderbox of unrest, its inhabitants driven to desperation by hunger and fear.
161098	170186	Lord Jamis, tasked with maintaining order, found his patrols stretched thin, their presence a mere bandage on this festering moon.
172371	176294	As if the blockade were not enough, the specter of piracy loomed.
177775	190725	The Scarlet Rat, a pirate of fearsome repute, had struck at Portovin, leaving it in ruins and its warehouses, once full of supplies destined for Monmurg, reduced to ash.
191940	194942	The town, once thought secure, lay in tatters.
195683	203028	Monmurg was under siege, its lifeline severed, and the specter of starvation looming large.
204349	206951	The political landscape was no less tumultuous.
207531	217459	The Prince of Port Toli, a key ally, had turned a deaf ear to Monmurg's plight, his promises of aid as empty as the city's granaries.
219740	227207	Rumors of discord among the sea princes, fooled by the contentious slave trade, added to the city's woes.
227987	235654	The Prince of Monmurg, caught in a web of intrigue and betrayal, faced a future as uncertain as the storm-trough seas.
236965	241806	In the midst of this turmoil, Monmurg stood at a crossroads.
242386	248328	The city, once a beacon of trade and prosperity, now faced a future shrouded in uncertainty.
248808	254229	Its people, resilient and resourceful, clung to hope as they awaited the turning of the tide.
254970	264652	For in Monmurg, as in all things, the wheel of fortune was ever turning, and the dawn of a new era could lay just beyond the horizon.
267715	270398	Any questions about that?
270438	272459	Monmurg is in complete disarray.
272479	275222	I'm just trying to summarize what I got in my head.
277824	291277	Their fleet was beaten or failed to stop through maybe supernatural forces that are whispers of.
292418	293499	People are starving.
295261	302171	So what's strange is the fleets of Monmurg in the Outer Isles, for whatever reason, are not going forth on patrols.
302852	304574	They won't leave the docks.
305055	307318	So people are very, very...
311525	315267	And rumors are starting as to why this is happening.
315387	322290	There have been defeats against Keoland, but for some reason, the Commodores aren't even trying to bring the battle at this point.
322870	332975	And the few traders that manage to get through the blockade bring only a little bit of the goods, a trickle, what they usually do to the sea at this time of the year.
334135	336857	As the summer goes on, this will only get worse.
341034	341318	Okay.
