start	end	text
3980	23811	Okay, morning of the third of Wealsun after the battle with Sahaugin, after Tyrus threw the solution into the Smuggaloos Caves of Helm Island, the party sits on the docks, basically recovering from what they're doing.
23831	24951	Do you want to see where you're at?
25412	25712	Okay.
26457	27757	Do you guys want to have a conversation?
27777	28678	Can anybody heal?
29518	31238	Can anybody get any heals at all?
31358	32259	Why did you say that?
32279	33619	I'm fucked up, but I'm okay.
33839	35420	I need to rest.
35560	38221	I run up and grab Tyrus.
39501	43502	Can we see if there's a ship coming towards us or leaving?
43642	45503	Can we see anything from the docks?
45543	47763	Can I see anything from where I'm posted as well?
47823	47983	No.
48224	50164	I would like to count how many barrels we got.
51264	55666	Okay, so you go up and Paul Ribeiro goes up to the barrels and counts the number that are out there.
56586	60528	There are... 25.
60588	60888	Nice.
62128	64529	Okay, that'll give us about 50-50.
64589	66870	I grab all 25.
66970	67690	25 barrels.
67910	77514	Um... You drank a whole barrel.
77614	78154	Some red eye.
78354	79435	Okay.
80595	82456	I, uh... Gouge drinks a red eye.
83360	86362	I'm going to go over here and see if I had that drinking thing.
86762	88123	Somebody want to check out these tents?
90164	90624	Sure.
90884	91585	I would love to.
92083	94404	Okay, so we're going to cut to the chase.
94484	103967	Basically, the tents are obviously places where there are some weapons that are basically kept for you don't know what.
104007	107809	They are the same kind of weaponry and armor that the hobgoblins had.
107929	110690	Obviously, this is kind of one of their depots, right?
110750	113151	So they came up, put the tents up, had their weaponry and stuff started.
113171	118332	And we've got to get ready for that ship to come back because if they're trying to take everything off and there's 25 more barrels,
120013	121516	We don't have time to rest.
121696	125381	That ship's got to come back and we have to take it, take the barrels.
125401	129988	Do you guys want to station up here and start a short rest?
131029	131690	By the ballista?
131951	134214	Can we start taking those barrels up there?
134534	135816	Can we march those?
136820	139200	No, I think the barrels...
139220	141641	If we see the ship coming, we can get to the barrels before they...
