start	end	text
872	1732	You guys are discussing.
1772	2893	With the captain?
2913	4474	You are together right now.
4494	5415	Just the two of us.
5455	7076	Just the two of us.
7096	8217	Okay.
8237	8677	So we need to know
30279	33801	How many hobgoblins at least landed ashore?
34241	39843	And if the captain is vague on that, it's going to cause me to have some trust problems with him.
40103	42965	I mean, the captain's holed up here, so that's a good sign.
44305	51168	He's not obviously with the hobgoblins, but we need to know about the number of their forces.
51548	52989	Why do you think he's with the hobgoblins?
53169	53529	No, no.
54170	55470	Well, I suspect everybody.
55970	56371	Don't you?
59359	63421	I mean, Lord Fairwind's not exactly off the hook.
64142	67764	Well, I've been bleeding for the past 24 hours, so sorry.
67784	71726	That hasn't been on my mind, but... Yeah, no, it's okay.
72246	75108	You were just asking me why I would suspect him to someone.
78218	79839	Now the captain is not Fairwind.
80339	81719	No, I know that.
81779	85880	Fairwind's maybe held up.
86120	91681	If he's still on our side, he's held up either captive or trying to defend himself in the inner sanctuary.
91701	92201	Okay, so...
100846	110549	If Gouge and his company comes, his companions come, I can guarantee you we're gonna be moving on the keep tonight.
111890	122373	So if Gouge can make it here, which I have no reason to believe that he's not going to be, will you be able to, are you good enough to move on the castle tonight?
124373	124794	Yeah.
125474	125794	Okay.
126874	128175	Do you have anything that
133238	142061	For protection, do you have anything, like, any special abilities or any magical devices that will, like, help keep you secure and safe?
142941	144881	I mean, none of that's a guarantee, of course.
146822	149263	I actually don't think so.
151723	155744	Okay, I just need to know so that I can think if there's anything that I can do to help with that.
156425	157405	But, um...
159172	160653	Certainly you don't have to tell me.
160693	162314	You don't have to tell me.
162354	166618	You don't have to tell me everything.
170340	178066	Were you given any specific instructions from Jion or Lord Jamis, Prince Jion or Lord Jamis regarding this mission?
178086	179247	You know everything.
179267	182870	We were supposed to come here to make sure that everything was okay.
182910	186212	I'm a representation of Jion himself.
186573	186913	Okay.
188670	202857	To the DM, is there, do I have an assessment on like, is the garrison versus our 20 marines, or are our 20 marines maybe a step up in skill level or armament over garrison, or are they virtually?
202957	203778	No, they're the same.
203838	205559	I mean really they are the same.
205719	206419	Armed the same.
208220	208880	These are marines.
209120	211181	Gotcha.
211322	215784	But other than the fact that maybe the 20 marines would fall more directly under his control.
216464	216784	Right?
216824	223329	Because now the captain's... No, I wouldn't say that.
223349	231856	I think that the situation is still the same, which is the captain is the officer.
232456	235038	Right, but he's a Fairwind and his troops.
236719	240862	True, but if Fairwind was here, he would obviously be the guy in command.
240922	241383	Of course.
241923	243985	The captain's the guy in command, but Paul...
247638	251564	He has the ability to influence things greatly.
251965	254809	Now, how do you put it?
254910	255711	How do I put this?
257213	257914	It would be like...
259957	262978	A general and the vice president of the United States hanging out.
263738	270099	The vice president would basically say, you're in command, but I want you to do this.
270219	274040	You figure out the details, but this is how we do things.
274640	286082	So then what we need to know is if we go in, what I'm assuming, what I'm going to assume is that Gow is just going to want to move on to keep, but he's going to want to do it stealthily.
286902	294784	The question then would be, are we going to go all out and get the captain and the garrison and 170 guys?
295224	297965	Why don't we ask them?
298065	304167	Well, we can, but I'm running to spite you first, because you'll ask him, not me.
304527	306087	You should do most of the talking on this.
306427	308488	Wait, I thought you were talking.
309542	312584	Are you communicating to the other group of Marines by the light, right?
313004	319728	Yeah, they're going to stay and hold that because they're going to, like, warn off any shipping from Monmurg or any of the other sea princes.
319768	321209	Just so that the same thing doesn't happen.
321229	323190	They don't just make it into the harbor and get sent.
324128	325509	Yeah, I mean...
325569	328691	In 70 of us... Well, we need to secure the helm.
328732	332755	That's what Lord Jemma said, is that the helm has to be secured.
333755	340020	We've got the barracks, but without the keep, we're not going to necessarily be able to, like...
340040	342462	I mean, we can't say we hold the island unless we have the keep.
343499	344721	So we're going to have to move on the keep.
344741	353891	We're going to find out from the captain, and we'll ask the captain, but I'm talking to you about this because you kind of need to be the one that's fronting this.
354011	355373	I mean, like, I don't mind helping out.
355393	355773	Captain?
356114	356374	Yeah.
356795	359157	I mean, haven't you seen how everybody asks?
359237	362281	Like, every time I start opening my mouth and talking, they're like, who the hell is this?
362561	363002	Yeah.
363482	364843	I mean, who the...
365284	370088	I'm basically one step up above white... To be fair, I asked myself that question when I first finished that room.
370449	371029	Right, right.
371049	377555	So, I've got some experience fighting wars, but I'm also trying to not, like, try...
378156	378376	Die.
378456	379317	No, it's not about dying.
379377	380538	I definitely don't want to die.
381379	382440	It's about...
