start	end	text
9580	12262	As Paul leaves, you get up to go.
13223	15344	And Jamis says, word, Jude.
16765	17245	Quick word.
19747	29073	Yeah.
29093	31594	So, this is more dire than a Lenon.
36190	50114	This is what Jeon thinks, and everything that I have said to Paul right now is basically the mind of Prince Jeon, which I would not speak against in front of Paul.
51755	52975	I was a messenger on that.
60017	63618	I think there's something more than the mistake with the code.
65500	73303	And the news that you've given me about Toli not being in the foreign district anymore lends it to that.
73323	81227	I'm assuming that it'll be bad there.
83027	91671	Possibly Lord Fairwind is a traitor to the Sea Principalities.
93051	93912	That is my thought.
95901	97062	But it could be worse than that.
100827	105853	Meaning the whole island could be seized and he's not a traitor?
106234	110760	Well, if Lord Fairwind is a traitor, the whole island is seized.
111280	111741	That's true.
113843	114644	But even worse...
117743	134138	Helm Island is strategically important, not only where it is, but there are things there that are very important to the defense of Monmurg, that if he has control of them, we are very vulnerable to some of the worst enemies we've ever had.
136360	141525	How much leeway do I have to do my own thing?
146985	151467	Well, your leeway is less than my other agents.
152367	155468	I'm betting gouge onto the ship as well.
156488	158789	Do not act as if you recognize him.
160590	161350	He'll be the knife.
162251	164111	You are to make sure Paul survives.
166872	170173	However, one thing is very important.
171654	174295	The helm must be taken.
178592	181954	They cannot be left in the hands of anyone that is a traitor or an enemy.
185237	188699	Is there any signal for Horrible Gouge?
188739	188819	No.
188859	194884	If there's any signal, should we take it or need reinforcements?
194924	206552	Gouge's mission is basically to make sure that Lord Fairfield is, not Fairfield, but Fairwind is either dead or loyal to the sea principalities.
209189	211631	That will be what he is supposed to be doing.
216834	225060	The captain of the ship is not to know about anything that you are doing or what Gouge is doing.
226761	231064	To him, this is just going to assist another prince.
233425	235467	Will Paul have control over the Marines?
236387	237088	Absolutely not.
238849	244431	Paul is there as Prince John's representative.
245152	252175	Basically, John doesn't understand just how tenuous the situation is.
252695	264900	Well, right, but as Prince John's representative, I mean, we're going to have to step into... we're going to have to be received by Lord Fairwind, correct?
266601	267261	You would assume.
267642	268222	I would assume.
269963	272124	And you want me to keep him alive in the middle of a hostile court?
272224	273545	Or potentially a hostile court?
274745	275786	The guards will be there.
276226	290092	If you get to the island, and you get into the helm, and gouge is with you, and you have marines that are loyal to you, I assume that you'll be able to keep both Paul safe and take the place if you need to.
292273	297056	What is the complement of troops that Lord Fairwind has?
297196	299597	Fairwind has no more than a hundred men on the island.
300473	301793	You'll let number him two to one.
302634	307175	With you and Gouge, your magical abilities, I'm sure you'll be able to neutralize whatever you need.
307716	310597	Unless assuming that everyone was with him, they might not know.
311677	313778	The thing I'm worried about is the Toli Assassin's.
315499	319660	However, Gouge has proved very effective against them in the past.
321281	323382	And I think that you could be effective as well.
327063	327363	Okay.
330149	330432	All right.
331419	331882	Understand?
332406	332628	Yeah.
