start	end	text
1512	11202	Paul Rivero going through the letters of Grayson to his mother, Lady Elyria, after he's done his adventure.
12523	23693	This is the day after he snuck into the secret laboratory between the Royal Palace and what he knows to be Lord Jamis' residence.
26295	35139	Okay, so right here in this, it talks about the, there's like a transmutation school.
35799	37080	Do I know where this place is?
37200	42182	It's the Alchemy Caves.
42662	45964	You've never heard of the Alchemy Caves, right?
47004	50886	What is your skill with Arcanum?
54826	55066	Three.
55667	56328	Three, okay.
56648	63576	So I want you to take a 20-sided die and roll your...
63956	65337	It should be an arcana.
65398	66439	Intelligence is three.
67059	68281	I don't have an arcana.
68321	69642	You don't have any skill set yet.
69662	71324	Okay, that's perfect.
71344	74187	So roll, and this is a DC 10 roll.
74287	75729	So if you roll a seven, you'll know.
77827	88334	Okay, so there is a country called Keoland, and I think that this is in your histories of the sea principalities which I've given you.
90516	98161	And the country of Keoland has been in conflict with the sea principalities for some time, right?
98281	100383	At least over the last, I would say,
103438	109604	For 80 years, there's been friction between the two of them.
112206	114188	Keoland is a really big empire.
114708	122635	It's made up of a lot of different dukedoms and kingdoms and so on.
122795	126939	Militarily, they are far superior on the land.
127770	129190	Than the Sea Principalities are.
129610	136351	However, the Sea Principalities have been able to maintain their independence from them because their navy is so great.
137212	147753	And the Sea Principalities is isolated from Keoland by the Ajerci, which is here.
148254	152794	Here's Monmurg, here's Keoland, and it's huge up here, right?
153554	156435	And then a big river called the Houle River and Great Swamps.
157989	162619	So Keoland, the only way Keoland can really get to the sea principalities is through the sea.
163472	169993	And that is impossible because the navy of the sea principalities is far superior to anything the Kiowish have.
171434	183536	I'd say the biggest rival of the sea principalities is this dukedom in Keoland called the Duchy of Gradsul.
184396	187917	And the Duke of Gradsul has a pretty big navy himself.
188837	195200	I would say it's probably about half to two-thirds as big as what the sea principalities have.
195940	199381	And the sailors are not nearly as good, right?
201649	213079	Whatever the case, however, the Duke of Gradsul, in history, the line of the dukes have always kind of had an animosity towards the sea principalities for various reasons.
214800	228752	In fact, you know that historically back in probably, I would say, more than a hundred years ago, one of their kings, Tavish III, tried to attack the sea principalities and attack this
230560	234362	A fortification called West Keep, which is out towards the west.
235422	239344	And within 15 minutes of the initial assault, he died.
239605	247128	And so they have a real hatred of what the Sea Principalities has become over the years.
248149	252151	In Gradsul, there is a magical academy
255580	257961	Called the Academy of Magics.
258661	263722	And there's a college in that academy called the Transmutation School.
263742	273444	So in this letter basically this guy Grayson was going to school in the Transmutation School.
273764	275825	Some way he got into that school.
277786	279489	Now, I'm gonna say this.
280390	284476	You gotta understand that there are rivalries between nations, right?
284856	287640	But there is still some diplomatic goings on.
287740	290204	Do they let, like, travelers through?
291487	292647	To the school of the academy?
292707	292948	Yeah.
293088	308833	Well, from what you understand, the magical academy in grad school is pretty accepting of all types of peoples, but they kind of focus on the upper class.
310655	321912	In the Duchy of Gradsul, which are sons and daughters of the Suel nobles that live in that duchy and country.
322372	323234	The Duke of Gradsul
324667	326468	is a very powerful person.
326548	343558	Right now he is not the king of Keoland, but his sires, you know, the people that came before him, his ancestors, have been kings of Keoland, and in fact Tavish III was one of the Rola kings.
343718	346920	The Duke of Gradsall had risen to the throne at that point.
347180	350842	Keoland has a really weird thing where they have a ruler
351362	353903	Called the King of Keoland, but it's not hereditary.
353943	357625	It's basically elected by the people, right?
357745	358946	But once you're king, you're king.
359546	359766	Yeah.
360466	360686	Yeah.
361467	362667	Okay, um...
371512	372952	I don't have many other questions.
373753	374073	I mean...
376074	377434	So wait, the...
377454	378655	I do have the, um...
379559	382501	The yellowish powder that is spoken of.
382521	388425	That's basically, from what I understand, it's used for transmutation, is that right?
389625	390946	That's what it says in the first part.
393068	393368	I think.
397630	404475	Well, the statement in the letter is, I have been working tirelessly on recreating the pale yellow powder.
405559	409902	The very weapon that once turned the tides against the sahaugin.
