start	end	text
9564	11725	Zafar's instructions.
16066	24368	The foundation of these homoculae begin with a malleable clay, carefully sculpted into the likeness of small lizard-like creatures.
25289	27269	The choice of form is not arbitrary.
27909	32631	The lizard's form is simple and durable, unlike that of a spider or another insect.
33513	40457	Also with its ability to blend into surroundings, it is an ideal model for a creature designed for espionage.
41317	52123	The clay is imbued with a subtle enchantment by soaking it in warm water with one drop of its master's blood, making it receptive to the magical energies that will soon animate it.
53583	62428	The form can be as complex or as simple as desired, but a true artisan will ensure that the final form is both functional and aesthetically pleasing.
63655	79656	Central to the animation of Jody's homoculi are green gemstones, the ones gifted to me by the lithomancer Zafar Azane are similar to the stones used to create the animated blades that he is famous for.
81108	97134	Zafar has informed me that he learned how to create these stones in the archives of the Arcane Order, a lost variation of a soul gem whose creation was discovered and perfected by the transmuters of the Suel Empire before the Twin Cataclysms.
98235	102436	One stone is known as the Heart Stone and is used to animate the homoculi.
103016	109719	The other is the Mind Stone, which the homoculi's master will use to animate the automaton itself.
110997	119361	Each gemstone is attuned to a specific frequency of arcane energy, a process that requires both skill and patience.
120142	130487	The heartstone is embedded within the clayform, nested where a heart might reside, and it is this stone that serves as the conduit for the master's will, via the mindstone.
132776	136639	The proper gemstone's ritual of animation is simple.
137299	145244	The master stands before the nascent homoculus, focusing his mind and channeling his thoughts through the mindstone.
146165	151088	The master intones the magical words, lapis philosophorum.
152389	158693	As the master's consciousness flows into the mindstone, the homoculus is awakened with the spark of life.
159433	161575	The connection is not one of domination.
162388	175745	But symbiosis, the homoculus becomes an extension of the master's mind, capable of executing complex tasks and relaying information with uncanny precision.
177487	180772	Once animated, the homoculi are remarkably resilient.
181496	189222	Unlike their traditional counterparts, they do not wither outside their jars or require a subsidence to survive.
189863	196047	Their clay bodies, reinforced by the magical properties of the Hearthstone, can withstand the rigors of their mission.
196808	207836	Should they sustain damage, a simple mending cantrip is sufficient to restore them to their original state, ensuring their longevity and continued service.
208817	216879	Zafar informed me this implementation of Joe D's method of creating homoculi is but one of many possible paths to animation.
217559	230982	These homoculi, unlike their mythical phantoms, are not mere curiosities, but invaluable tools capable of performing feats that would be impossible for any ordinary spy.
231622	235463	That's exactly what I was hoping to be.
235743	237563	That's exactly why I wanted to wait.
239318	240299	All right.
241820	243722	Let's cook one of those up.
243902	244783	Okay.
245443	246804	So, how do you want to start that?
249407	251648	I'm hoping it's got some instructions, right?
252469	252689	Yeah.
252809	253610	I mean, absolutely.
253650	254010	Yeah.
254050	256392	So, do you want to... You have the two stones.
256573	257593	Yeah, I have the two stones.
257694	257934	Right?
258234	262718	Do you want to get a bunch of clay?
263338	264199	Yeah.
264219	264800	Okay, so...
266696	285587	You ask the servants to bring you what you need, which is a cistern, a lump of clay, good clay, and clean water.
286528	291251	So that afternoon they bring it to you and you spend the time
292751	296994	Forming the clay into what you want your homoculi to look like.
297854	298255	Correct?
298435	298595	Yeah.
299556	305219	So you take the cistern, cut your finger, and drip a little bit of blood in there, as requested.
306020	312524	And then you bathe the clay in the water, forming it into whatever shape you want it to look like.
313024	314065	What do you want it to look like?
315366	316387	Didn't it say a lizard?
317725	324651	It basically said that the lizard was kind of the most useful form of these little homunculi.
326332	328814	The question I have for you is how big do you want it to be?
328834	330355	How small do you want it to be?
330375	330495	Small.
330515	331977	I want it to be small.
332097	334198	Like that big?
334278	334659	Yeah.
334859	336520	Okay, so the one that you were using for
343160	344961	Or you found and you cut the head off.
344981	346721	It was about that big.
347242	349042	Wasn't it like a gargoyle?
349182	350723	It was kind of like a little gargoyle.
351183	351483	Bigger.
351583	352804	But you want to make one smaller.
354105	361788	Now, there are instructions in there on variations that can have poisonous things or whatever like that.
362208	365349	But it sounds like you want yours to be very small and simple.
366009	370511	Just one for recon and detection.
370771	371071	Okay.
381742	389263	Using your Arcana roll, you spend four hours working on this homoculi.
389863	394184	This is a DC 15 roll to be able to go through the instructions.
394224	397625	You need to roll a 12 to make one that is acceptable.
398507	398847	Okay?
399547	408209	The way this works is that every point above a DC 15, the resulting homoculi will have one hit point.
409609	412790	So if you roll a 16, you create a homoculi with one hit point.
413810	417651	If you roll a 20, you create a homoculi with a 5.
422752	422952	One.
423553	425493	Your first attempt is horrible.
426699	433263	So like mangled and like... You take it out of the thing and it falls apart.
434664	440347	Okay, that's... You were trying to be as artistic as possible.
440367	441428	I'm not very artistic.
441468	444970	So basically you waste four hours working on the homoculi.
445010	445510	Okay.
446431	446771	Okay.
447972	449813	So, hmm.
449953	450534	It's awful.
450814	452014	I'm going to have to try again.
452034	452755	You start over.
452775	452975	Right.
453175	454136	Smashing the beast.
454276	454876	Yeah.
454956	456177	A little piece of this.
457522	458342	And working again.
458362	460363	Okay.
463863	464224	Three.
464944	465224	Okay.
465904	469545	So, daytime goes into nighttime.
469665	473826	And about 10 p.m. at night, you're exhausted.
474586	481888	Your attempts, you actually got to the point where you created the little creature, which was ridiculously looking.
483830	488433	Put it in the Hearthstone, and in desperation said the word slap his philosophy for him.
489554	493657	One of the legs twitched for a second, and then the entire beast crumbled.
495539	496279	Roll an end check.
498021	499021	Oh wait.
501683	502304	Thirteen.
502484	502884	Oh, okay.
503725	508709	You realize that the clay they brought you was substandard.
511050	511851	Too grainy.
513020	514121	You need something better.
514621	515842	Let me go out and get myself.
516902	517403	It's okay.
519684	522045	Okay, I go out and I get myself good clay.
522065	522485	No, no.
522906	524286	Remember, it's 10pm at night.
525167	527648	Yeah, I... Where are you gonna get the clay?
527829	528249	I don't know.
529830	531090	Not where they got that clay.
532571	533412	Yeah, so...
534680	535981	There is a marketplace.
536021	536381	Yeah.
536421	537921	I'm going to go to that marketplace.
538161	538782	Okay.
538802	541302	So the Grand Market is someplace you can go to.
541322	542383	I'm sure I've got money.
542483	544344	I mean, I'm... Oh, yeah.
544804	546264	You've got lots of money.
546444	549285	Platinum card or whatever.
549586	552627	Do you want to rest that evening or do you want to go out at night?
553967	558329	Let's just get it done now and then maybe I'll try again in the morning just before I leave.
558349	559209	Okay.
561270	561590	So...
562707	567192	You decide that you're going to go find this yourself.
567893	569655	Street vendors in the great market.
570596	571037	Correct?
571498	571678	Yep.
571958	573620	Okay.
573640	576403	So, how do you want to go?
576483	577264	How do you want to dress?
579046	579988	I'm just...
581714	585706	I might take some of those casual clothes so I don't stick out so bad maybe.
585787	587452	Do you want to dress as a merchant?
587472	589438	Do you want to dress as a... What do you want to dress as?
589458	592749	I'll just dress as, like I said, a black robe.
593672	594153	Black cloak?
