start	end	text
1002	2363	Yes.
3243	6385	So this is the, this is the first of Wealsun.
7526	18732	Jude has just been, um, escorted from, uh, the small fishing village of, uh, I think it's, what is it called?
21474	21854	Eram.
22294	25396	No, it's, uh, Enar, Enrar.
27527	31211	Um, to, uh, the gates of Monmurg, right?
31731	40980	Now, you got off the boat, probably around 10, and he, he, you know, he saw you, and you went to him and he basically said, I'll take you to Monmurg's gate.
41400	42661	And that's where you are right now.
42901	51950	And if I remember correctly, you were basically saying to him, I want you to come in and talk to, um, uh, Lord Jamis and tell him what you've seen.
53905	63393	Is it too late to have maybe asked if I need to get a hold of Olin Black from Anbar?
63573	64934	If I need his services at all?
64974	69137	Is it too late to try to see if there's, you know, do I place up a flag over the end?
70038	70518	What do you mean?
71479	79705	I mean like if, like I know he didn't really come to shore, but if I need to, if I need to go back or if I need to, you know, his services.
84961	89047	He didn't really seem like he was gonna be contactable.
105914	107196	The captain.
107216	109618	That he was available for duty, basically.
122306	122846	Pretty much.
122886	130232	I mean, he took you aboard on a longboat, and you wanted to be as close to the village as you could, and people saw you get off, right?
130412	131512	So, they knew that.
144392	144672	Anyway.
144732	148453	Alright, yeah, so I would like, what is this, uh, the young person's name that's with me?
148553	152215	Is it the son of the Tanner or is it the Tanner himself?
152255	153455	No, it's the Tanner himself.
154075	154335	Okay.
154836	154996	Right.
155016	157416	Alright, yeah, I would like him to actually come in.
158897	160097	Okay, so what do you say to him?
161398	166319	Um, I am happy to come at the costa to stable your, your cart.
167020	173642	Um, I, I have somebody that I would like you to, to talk to and, and to communicate what you've told me.
174703	175704	And who is this person?
177865	179786	Someone that it might be beneficial for you to know.
180766	183148	Uh, Lord Seamus.
184328	185449	Ah, I see.
185469	189031	Is that acceptable for you?
189731	191672	Well, here, let's walk to the gates.
193693	193813	Okay.
194274	200637	Uh, what was there, is there a card that we need to, maybe, probably we don't need to take this card in, but if we need to stable this card or something like that.
200857	202338	We'll see if we can get in the walls.
204720	206742	Are they... fortified?
207743	210585	Well, I mean, the gates are actually open, but there are guards there.
211326	211566	Okay.
213587	218472	Okay, so you guys get off the cart, and you and Hor... Yeah, what was his name again?
218512	219192	Uh, the Tanners?
219713	220033	Mm-hmm.
221014	221894	You don't really know.
222035	223276	He hadn't really given it to you.
225277	227739	How might I introduce you to Lord Seamus?
228260	229721	Should he, uh, give us audience?
233328	240274	I think that he should know the town I'm from and I'll give my name to him if I feel comfortable.
241215	245439	Is Ensar at odds with Monmurg?
245519	247300	Oh, no, no, no, of course not.
247600	249522	It's in the Sea Principalities.
251104	252105	Of course, yes, of course.
252125	256789	I wasn't sure if there was something... We know Prince Jeon and we...
259803	261004	Enjoy his protection.
261465	264167	So anyway, you and Horace get off the cart, right?
265248	268051	And Horace asks you, Jude, should I bring the wine?
269052	270233	Yeah, of course.
271133	275417	Well, I mean, shit, how much stuff do we have to pack if I don't want to leave it on the cart?
275537	277679	Well, basically you have that crate of wine.
279481	279781	Yeah.
280702	283965	Is there a dolly or something like that that we can rent?
289125	298666	So basically the Tanner says, I'm sure we can find a porter when we enter the city.
