start	end	text
7729	19136	Early in the morning, between the 2nd and 3rd of Wealsun, the party leaves the doorway, the northern exit to the barracks, and into the night.
20597	22738	Alright, so you guys slip that into the night.
23118	23839	Who goes first?
23979	25720	I'll take Lee, he goes behind me.
25820	26140	Alright.
34738	42619	So Merrick goes into, out of the wall, and do you want to run towards the palm tree forest, right there?
42659	46240	I want to stay on the edge of the palm tree forest, but enough where I can see the coastline as well.
46340	49000	Okay, so you want to go around this way, right?
50441	56622	Kind of like totally far away from where the barracks are, so you're completely unseen from these cliffs.
56762	57502	Yes.
57742	62163	Okay, so you run to here, and then start going around that way.
62243	62803	Stealthing, yeah.
62843	63043	Right?
63223	64243	Okay, roll your stealth.
67446	69207	Six, plus five, eleven.
69367	69667	Eleven.
69707	71769	Okay, so he runs off into the darkness.
73130	75732	The light of the moon, however, shows you to him.
76252	77553	There's nothing for it though.
78294	82818	All of you kind of have to follow him this way and hope that being
84672	88693	A thousand feet from the guards on the walls.
89153	94534	Hand-dressed as hobgoblins that maybe... Well, hobgoblins sleeping in the barracks would be very strange.
94694	99955	But whatever, it's probably not something they'll be able to see at this distance.
100495	104616	Do they have dark men?
104636	105816	Yes.
106256	110417	So, how far do you want to let Merrick go before you follow up?
111417	112357	Oh, I want to be within.
114484	116046	Probably 30 feet of him.
116286	119128	Okay, you run out 30 feet, you follow after that.
119589	120089	Who's next?
120790	121130	Paul.
121190	122812	Paul, you follow 30 feet after?
122832	123973	Paul's the green pawn.
124493	124854	Okay.
128000	131823	Basically, you... Don't leave Jude on the back end.
132343	133444	You take off...
133464	136807	I was just going to say, I'd rather not be on the back end.
136827	137688	So, where is Jude?
137768	138188	It goes...
138428	139489	I'd be, like, second to last.
139829	142211	Uh, yeah.
142531	143152	Okay.
143212	144453	So, you're last, Tyrus.
144593	144773	Yep.
145033	145554	Okay.
145994	150377	So, basically, you make it to there, Merrick.
151518	155381	And stop by the coast, looking over the...
156736	159398	Ledge down to the beach below.
159758	161279	You're high above the water.
161999	168403	And actually on this side the waves come up and the coastline is incredibly watery.
168563	172386	Do I know any rumor of where these entrances could be?
172406	174347	Or have any idea where it most likely is?
174407	176808	The rumor is they're on this side.
176928	178770	Far above the rock there.
179230	183853	But I think what really catches your eye is that there is a ship.
185332	190715	In the water, right there, lit up with lanterns.
190995	193176	A ship that is foreign.
194077	195117	It's not a Kosair.
195898	198739	And actually, it doesn't even look like a Toli ship.
201494	212020	It's stocked off of the helm maybe 300 feet, 400 feet, and there are people, a lot of people walking it.
212640	215902	Gouge comes up next to you as you stare down at the ship.
219827	221768	What are you thinking?
221828	226850	I'm thinking possibly... Do I recommend any flags, any sales, anything?
226870	228091	There is no flag.
228191	228591	Okay.
229432	230712	Roll an insight check.
231012	231292	22.
232313	235054	You've seen ships like this before.
239776	244520	They're a new kind of vessel that's created by the Onwallian traders.
245500	247002	Very good cargo ships.
247942	249784	Very fast.
250044	254607	And their sails are very innovative.
256108	261052	They can actually get speeds faster than Cosaire's, which is strange.
261893	265936	When I move up, do I recognize them?
267310	274377	So, Paul, you come up next to Gouge and Merrick, and they're looking down at this craft.
274457	275638	Where is this ship?
275898	276779	It's like right here.
277239	278400	Anchor up there.
278520	282324	And you can see it from where you are, but it's like basically stationed right there.
283705	288930	Is this, do I recognize, like is this one of our ships?
289090	289751	Absolutely not.
292906	299412	Hey, it's one of these new ships that I've seen that it's a new type of animation that's very fast.
300232	303355	I came out of... Who makes this ship?
303435	303855	Onwal.
304056	304356	Onwal.
304516	306257	Where are they from?
306778	308239	Onwallian traders.
308259	311122	From Onwal, which is across the other side of the ocean.
311322	311522	Yeah.
311542	311842	Oh, wow.
311862	312162	Okay.
313444	314164	So could this...
314304	315766	I mean, it could just be a trade ship.
315786	318748	They have no idea what's going on, and this is a huge trade run.
318808	319148	No, no.
319188	320970	This is tied to this kind of situation.
323075	327136	That's a possibility, but I think we've got to take it as a fact.
327176	328656	How far off is it from the shore?
328796	330577	It's 400 feet away from the helm.
332177	332557	Okay.
332617	347921	All of a sudden, you see a ship, a smaller vessel, kind of a little skiff, come from nowhere and start sailing towards the ship off the coast.
348001	350222	Mark that spot where it comes from, nowhere.
350242	351842	Mark it for your...
353072	354153	Search.
354293	357996	Do you see how the coastline curves?
358256	359897	Are the rest of us up there yet?
359917	361218	Yes, you guys are up here.
361238	365101	These guys are all hiding right here, looking at this vessel.
365842	366462	Did you mean fog?
366483	367343	There's no fog.
367463	368384	Is there fog tonight?
368424	370946	No, it's as if he just came out of the island.
371006	372427	Obviously that's where our tunnel is.
372707	375029	Merrick, have you searched that part of that island before?
375049	376150	Do you know that area?
376851	379513	I should be familiar with the back end, right?
379593	380734	Yes, you are.
383365	386887	Is this something I would recognize going on around that?
388068	395073	So you've seen the rocks there and the navigation into that area, there are a lot of rocks on that thing.
395113	397495	You have to know what you're doing to be able to pilot in there.
397835	398135	Okay.
398195	399536	Even a small ship.
399596	400437	Even a small ship.
400577	401878	Okay.
402558	403459	So they've been here before.
404733	406597	Do I recognize the small ship?
406717	409443	Anything that I would have seen coming out of the back of it?
409884	410666	It actually looks like a...
414446	416928	Monmurg is a smuggler ship.
417808	421691	A small skiff that is very good in the oceans around here.
421831	432337	You wouldn't want to take it on the high seas, but in the bay of Jerley Bay or around the Houle River, these things go all over the place.
