start	end	text
2589	11774	5.30 p.m. on the 2nd of Wealsun as Paul and Jude are taken into the barracks by the garrison commander and the other men are taken care of.
13095	15396	So you go into this area and...
17197	22780	So to be clear, our 20 men, which we lost none to death, at least get bandaged.
23360	25622	Well, they're going to go and take a short rest, right?
25662	26662	Yeah, right, take a short rest.
26682	30784	Okay, so basically, Paul, you come into this office area and...
33976	41296	The surgeon says, this is Paul Rivera, this is the nephew of Lord John.
42609	51574	He was here to speak to Lord Fairwind regarding why we have not had a signal from the island after that storm.
52394	55796	And I respond, the signal was sent, but it was inappropriate.
55816	57177	It was not per its match.
58198	59018	What has happened?
59058	66102	The garrison commander says, the helm has been taken, as have most of the lighthouses.
67022	67963	And Lord Fairwind?
68803	69644	We've heard no word.
70946	74550	We think he's still up in the helm, hopefully, in the inner sanctum.
75591	76713	Well defended place.
77033	79796	It would be very hard for someone to take that area.
79936	81438	And the nature of the attackers.
83320	86163	I'm not saying about the shark people, of course, but...
86664	87184	Unknown.
88726	91189	The troops you've seen, the red-faced men.
92509	93370	The hobgoblins.
93810	94830	Is that what they're called?
94950	95811	That's what they're called.
96091	97632	But also they're coordinating.
97692	99413	So Haugen have been attacking the ship.
99453	105056	In fact, two ships that were in the bay have been taken to the bottom of the sea.
107538	112861	Do you have any contact with the Eastern Lighthouse or whichever one was the other one?
113261	117363	The one not... We've had no contact from the Lighthouses.
117424	119525	Their signals have been off as well.
121193	123934	The barracks was not assaulted.
125674	130575	However, we know that the helm has been taken.
130695	130955	How?
130975	131615	We do not know.
132135	134996	There's been a strange ship in the bay.
135976	141937	When your ships were coming, it moved off around the island to the far side.
143518	144598	How many men do you have?
145520	147662	Here we have 100, the garrison.
148322	149163	The full garrison?
149583	151044	Yes, we've lost no men here.
151245	151905	So 120?
151925	156869	22?
157810	162433	The sergeant says yes, the full contingent that we have is 120 at this point.
165496	169379	Well, we have two options.
169399	173062	We can either play the long game and wait it out, which is definitely risky.
174503	178924	But seeing as how I'm here, Jeon will probably respond with a day or two.
180084	181785	That's the long game.
181825	185726	The quicker action as we go to one of the towers, the sun will work.
186686	201529	What I would suggest is, is the tower that we dropped people off to, that was actually between, maybe not between, because I don't think you said that, is the tower that Gouge and the troops sent to.
203250	203890	So it looks like
204967	206368	Where's Monmurg on its map?
206568	207409	Monmurg is that way.
208209	208970	Here's the bay.
209771	210651	Here's the garrison.
212232	214354	That's the island that Gouge was sent to.
214594	214874	Right.
215175	215595	Right here.
215695	221019	So this would be the tower that we would need to take if we wanted to communicate to Monmurg?
221339	222800	Either one of these two.
223020	225082	If we did not hold the citadel.
225422	226203	Either of these two.
226463	228004	This is where the citadel is.
231146	231507	Okay.
233843	241707	What I think is because they have sea creatures, I describe also to the captain of the garrison the same thing.
242608	246310	Because they have sea creatures, we don't know the level of forces.
246350	247570	We're not just facing.
247630	252373	Actually, the men of Lord Fairwind have remained true.
252913	256915	So I try to, you know, lift them up, you know.
257716	261098	But because of that, we do not know the level of the forces.
262138	279213	We could send one man here to try to inform our troops, but we should attack and force this because we have to communicate to Monmurg that they need to send more troops because we are up against
281077	281818	What did you call them?
282078	283239	The shark people?
283359	283860	Sahaugin?
284060	284760	The Sahaugin.
285641	291546	So, because we're up against the Sahaugin, we'll send one troop here, or, well, maybe a squad of five.
291646	292227	Five guys.
292587	294189	The garrison come in and goes, who is this man?
294949	296090	He's an advisor of mine.
299574	303257	Well, and the sergeant... Well, let me say some things to you.
304415	312946	With the sahaugin able to attack the island, any movement onto the islands that have the lighthouses will be very dangerous.
313326	319394	They can move through the seas easily, and they're swarming around the island.
319654	321597	You've seen what they've done in the bay.
323447	329270	The truth is, it is strange to me that they attack Helm Island, because historically they've never come here.
329950	333571	Since they were defeated hundreds of years ago, they've left this island alone.
334072	337193	In fact, it is strange that their activities are such as they are.
338414	346077	But not given the current climate of being embargoed, being isolated.
346677	348358	This would be the next logical step.
348478	351379	Helm Island is magically protected from the sahaugin.
351439	352600	Something has changed.
353805	357848	Yes, you're right, but we can't just sit around and do nothing because of that.
357888	358989	We have to do something.
359409	369236	I'm saying that what we do has to be very, very... We can stay here in the barracks and defend it.
370217	377582	These red-faced men will not be able to take it from us, but if we walk outside, we will be slaughtered if we go to the beaches.
381803	386965	Are the sahaugin more of a threat, or are the red-faced men?
387085	388805	The sahaugin are much more dangerous.
389125	390286	There are much more of them.
390946	399929	The red-faced men came off the boat, as I told you, and there's not much more than, I would say, a hundred or so that have come onto the island.
400009	403070	Okay, theoretically, I've seen one of the lighthouses.
403470	409972	Could I initiate a fireball, just like I did on that one tower, theoretically flame?
411089	415955	Potentially everybody within the tower?
416016	418859	What I'm trying to think of is that if I had to move here...
419180	421142	I don't think you can get everybody in the tower.
421403	423045	Well, let's say that if I got over half...
427990	430571	I'm not going to talk about theoreticals in combat.
430591	431371	You have to see it.
431811	432872	You don't really know.
433252	435172	The lighthouses are tall.
435192	436513	They're like 80 feet tall.
436673	438673	Okay, so there are multiple stories.
438813	439333	Exactly.
439573	442574	So I don't think you would just be able to explain it.
442654	442894	Right.
442954	448236	So I might be able to do it, but maybe if it's 80 feet tall, I can only handle like 20 feet of it.
448456	448676	Yeah.
449036	449356	Yeah.
449936	452837	So if they had a whole bunch of people at the base, no go.
452977	455618	If they had a whole bunch of people at the base and I hit the base...
456498	457838	The top part would survive.
459939	463519	Alright, well for now we need to heal up and we need to rest.
464740	466540	Do you have any way to signal?
467860	470621	You have no troops that control any of the other towers?
471181	473962	All of the towers have been taken over by the enemies.
474842	480003	And in fact, I don't think it is the red-faced men, the hobgoblins as you call them, that have done it.
481592	483414	It is the sahaugin that I figured out.
483454	484995	So where did the hobgoblins come from?
485615	486936	That boat that I talked about.
487857	488337	Interesting.
488598	489578	That came from the bay.
490359	492841	The attack happened last night with the fog.
493421	499726	Do they have any way to signal at all to any of the three towers from the barracks?
499887	501007	Because that's where we're at, right?
501027	502168	We've been doing that already.
503269	503469	No.
503850	507853	What I want you to signal is I want you to spell out the word Karmirg.
510461	523528	I understand if all three towers see it, spell out the word Karmirg, because we have dropped off 30 people to this tower, and that would be what they would recognize.
525890	526270	I see.
528091	530852	So if they respond to us, we know that they will be true.
531233	533934	These two, they will give us gibberish.
534734	538777	If they respond when we send out the words Karmirg,
539585	551132	To this tower, they might be able to respond to us as we dropped off 30 marines before coming into the harbor and engaging.
551672	556575	If the battle in the harbor is lost, these 30 marines might still prevail.
558976	560717	When the sun sets, we can do the signal.
561457	562698	They'll see it at that point.
562738	569602	We don't have anything they will be able to see until the sun sets, but we can get a message to whoever is in the tower over there.
570402	575165	And I assume this just means that you're letting them know that friends are here.
575585	575845	Yes.
579585	593715	If there's other messages that we could, you know, assume or communicate, I don't know that the Marines would be able to... We can send messages to them if we know they are friends, or we do not want to...
593755	595596	So send Karmirg friend questions.
596216	599899	And then if we have a response that is acceptable to you?
600039	600319	Yes.
600980	602441	Then we can communicate with them?
602701	602941	Yes.
607144	607704	Good plan.
611395	612276	That's all I got.
613156	614217	I don't have much else.
615498	616058	You're wounded.
616559	617339	You should rest.
618080	618420	Yes.
618480	619321	We will get food.
619721	620862	We're safe here for now.
621803	629268	Again, the sahaugin will not climb the walls, and these hobgoblins are far too...
630509	633671	They're not numerous enough to basically assault us in this place.
634132	635753	I am an elven mage.
635973	640737	I just need four hours to meditate to regain my spells.
642381	644242	You will have four hours of safety here.
644262	646384	Hopefully it will be nighttime then though.
647605	652268	Perhaps we can get a message to your friends and they are still alive and coordinate with them.
654109	668440	If they respond with any acknowledgement, either with the words Gouge, Jude, if they seem to respond with a person's name,
670353	676818	Then I think that we can inform them of the entire situation, meaning give them greater detail.
677879	682924	Certainly, if I'm mistaken and they're the enemy, they will already know this stuff.
687208	688229	Let us wait till I fall.
688889	689750	It's an hour away.
690071	690311	Yes.
690331	691031	Then we'll proceed.
692793	693694	I must go meditate.
695746	696066	Okay.
696667	697929	So, you go to meditate.
699271	700432	Do you want to do a short rest?
