start	end	text
1441	8404	It is the second of Wealsun in the city of Monmurg when you awake the next day after you've created your homunculi.
9185	22211	Basically, you planned to start working on the mission that Prince Gianna had given you, which was to look into the Toli that possibly could be in the city.
25032	25692	Oh, that's right.
25732	29494	He wanted me to find their agents.
32413	34335	There's agents that are working for us?
35416	36376	No.
36517	39739	These are from Toli.
39859	40820	Working against you.
43202	44944	So, you get up the next morning.
44964	52810	After you've done everything that you want to do, you have what you want, and you were kind of planning on how you were going to start this.
53451	55212	Obviously, the first thing you were going to do was
57448	59609	Go down there and interrogate that guy.
59630	61951	Yeah, my dungeon and interrogate that guy.
62691	65874	I blew an arrow right through his...
66054	68835	It hit him in the neck and I told him already what happened.
69296	70897	I gave him loose details.
71697	74099	You're not expecting to get much information out of him?
75103	76504	I need an in.
77005	79887	You're expecting to turn him into something for you.
80107	84271	Yeah.
84531	86092	A connection to this.
86953	87394	Exactly.
87434	90536	That's kind of what you're looking to do, right?
91057	91317	Yeah.
92578	102587	Anyway, what happens, probably around 11 a.m. after you finish breakfast and are getting ready to go to the dungeon, is a servant comes and knocks on the door.
104929	105269	Come in.
106310	112654	They open the door and look away from you because you don't have your mask on yet.
112935	113375	Oh, shoot.
113855	122341	And it says, excuse me, Paul, your uncle, Prince Jeon, wishes to see you in his office right away.
122621	123022	Of course.
125964	126904	I'll tell him I'll be there.
127925	128125	Yes.
128846	129446	He walks away.
131548	134230	I'll get my stuff on and go see Jeon.
135408	135728	Again.
137870	138551	So you suit up?
138871	139111	Yeah.
139832	142935	What mask do you wear?
143756	144216	My new one.
145677	146338	The black metal?
146558	146838	Yeah.
147239	147499	Okay.
149060	149421	All right.
150121	152383	So you walk to his office.
153164	153464	Okay.
154866	159210	The guards let you in and you enter the room.
161129	172874	And see Prince Jeon behind his desk with Lord Jamis sitting in a chair across from him.
174115	179077	Behind Lord Jamis standing an elf.
181038	181218	Not
182448	185811	Elves are not very common in Monmurg, but there are a few.
186271	191636	This one, however, seems to have a very dark demeanor as compared to most.
192056	193077	He's not smiling.
193197	196220	In fact, his lips are drawn very tight.
