start	end	text
391	9633	All right, evening of the third of Wealsun, after the adventurers come back to Monmurg on the Kosair.
11434	12034	It's night time.
12914	13194	Okay.
13734	19176	You and Merrick are summoned to Lord Jamis's chambers, or his...
20698	24943	Basically, his office is in the Harvard District.
25444	26465	Quite familiar with it then.
26485	26805	Yes.
27306	28267	You've been there many times.
28307	34894	In fact, that's where he does most of his business when it comes to security and then other things, right?
35054	37117	And he wants to talk to you and Merrick separately.
37437	37818	Okay.
39197	40118	So, you're first.
40558	40899	Okay.
41279	55291	So, you're escorted into Jamis' office and basically sat down opposite him.
56692	57133	Gouge.
57413	58414	Is there liquor in the office?
59755	60396	Oh, always.
60456	60696	Yeah.
62143	62423	Okay.
62743	64284	I will just go over.
64444	67244	I'm pretty sure by now I can go help myself.
68865	74026	So I'm going to go over and pour a glass and sit at the desk.
74046	74806	Not as good shit.
75287	76807	Okay.
77487	78267	The sea shit.
78447	79728	The stuff you recognize.
79748	83429	Because there's some stuff there you do not recognize.
83809	86109	Hey, the rougher the better, so.
86350	86650	Okay.
86690	87850	I go for the cheapest bottle.
88010	88330	All right.
88370	91531	Which he would probably appreciate and doesn't care, so yes.
93217	93537	Okay.
98499	98980	Report.
100360	105103	Well, Paul made it back safely.
106123	106383	Yes.
107384	108044	Thank you for that.
109545	109845	Yeah.
111486	113026	Barely safely.
113887	116288	Was it his performance that was in question?
118609	119789	Was he vainglorious?
120570	120670	He
122698	129202	Well, he's got a definite entitlement to him, which I'm going to have to say he's entitled to.
129602	129862	Yes.
130142	134064	So, his performance was okay.
136206	137526	I haven't really figured him out.
137867	140328	He's definitely an interesting youth.
144550	146632	He's inexperienced, there's no doubt about it.
146752	152335	But I'm wondering, and what I want to know, is if that can be knocked off with time and experience.
153684	154244	I think so.
155264	165027	I think the chip on his shoulder will probably be chiseled down with a little more experience and getting put into his place.
167447	182491	You know, I didn't push anything too hard with him and just because obviously he had me watching him and he is the nephew and I think I can work a little harder on him next time now that I know how thick his skin is.
184642	189244	There was no conflict between you and he then?
190165	190425	No.
190785	191826	Didn't have a conflict.
191906	194727	He seemed respectable to me, which I'll take.
198910	204933	He did have some insight into some of the doings that I'll report on that
206503	213728	I don't know how well I can trust on what he told us if that's exactly what happened, exactly the way it went.
214669	227819	Obviously there was a lot more shit going down as you had imagined or suspected as opposed to the king like, ugh, fine, send someone to the look.
228339	234443	I think his lackadaisical view into this is questionable.
235353	244375	I don't want to overstep my bounds, just from what was there, what we encountered, which you had an idea of, no idea why he wasn't more concerned.
244715	249596	He and Fairwind are actually very good friends.
250336	253737	He wouldn't want to think ill of his friend, and this is the truth of it, Gouge.
255778	257078	Well, however I...
259092	262894	My eye has to be completely objective in these things.
263494	272778	And it's been a while now that I've been looking at Fairwind and his jealousy of Prince Jeon and his jealousy of Monmurg in general.
273618	285824	As you know, there are negotiations and political maneuverings happening between the Toli, but also between the princes of the Outer Isles.
287024	287585	Fairwind is
289240	295005	The most outspoken, and I think that Jeon would consider giving him his wishes.
300329	311739	There are things Jeon is, what I will say, very intent on, seen happen in this country.
312799	315542	And he's willing to spend political capital on it.
316591	319693	My personal view is that it's not worth it.
320634	323315	This is, in a way, kind of what you just said.
323936	325697	Why is he blinded by these things?
325777	330540	He is an idealist, and that's the problem, actually, in this case.
330860	333862	The princes of the Outer Isles are not.
334642	334962	Okay.
337604	343408	Well, I can sum up the best of what we experienced there.
346062	351405	We landed on the... What side that was?
351886	352806	The Southern...
352826	353767	The Southern Lighthouse.
353787	354427	Southern Beacon.
355368	357730	Landed there with a...
358070	359611	I got the maps right under that, I think.
368156	371498	Yeah, we landed... Just a second one here.
373440	375241	Yes, landed on the Southern Beacon.
377270	382052	Sent the ship around, landed with, I think, 30 or so of us.
383433	404443	Upon coming up onto it, were met with hobgoblins at the bridge tower, which we were able to take and secure, and left the men and the Marine captain, the Navy captain that you sent us with, he stayed there.
405614	408296	We didn't take the hobgoblins out of the barracks.
409457	411898	It was kind of at a standstill with that point.
412699	414000	I don't think anything else happened.
414020	418423	We didn't head that far south, so I'm not sure what the men are doing there now.
419424	430932	But we made our way through the forest with Merrick Lettuce all the way up to, let me see here, the barracks.
432493	444201	I do believe it's where we met Captain Steve and others who explained some more things.
444261	447062	We know the secret entrance.
447182	448323	We didn't take that.
448343	450905	I'm trying to sum this up.
452346	461292	The guys in the barracks, they were able to put out a diversion which allowed us to go around to the back side of the helm to try to find Fairwind.
462535	465820	And tried to see if we could figure out the secret entrance.
467377	479604	Into the helm, which we really couldn't tell, but we did see a new type of Corsair ship being loaded by a skiff coming out from underneath the helm.
480344	483125	This new ship is not one of our making.
483306	486667	It's one of that we've, I think, seen from the far east.
486687	488188	I don't know.
488768	488989	Yes.
489509	492070	That's, I think, the ship called the Sea Ghost.
492691	493731	I've had reports of it.
496433	496813	What was this?
496833	497113	Kane Toole.
502983	503483	Hey, Casey.
506324	509205	I'm home now and should be home the rest of the night.
509625	510445	I'm in no hurry.
521529	522969	Okay.
523509	524229	Yes, that does.
527130	531312	Yes, I do, plus more stuff my dad brought if you're curious.
540342	541303	Okay, perfect.
542364	542684	Thank you.
545147	546968	She's coming to re-bandage my finger.
548009	550531	Hopefully it's not going to fall off.
553234	560300	Yes, from on-wall for that ship, which is not common for us.
560360	561001	We don't have that.
562397	571401	Well, I mean, I think our shipyards are starting to emulate that, and I believe the Sea Ghost actually was purchased by the Toli.
571922	572182	Okay.
572262	573542	Particularly Kane Toli.
574223	575223	Okay.
576464	578565	Well, that makes sense, because the Toli were on it.
581906	583167	We made our way...
584509	585230	Into the helm.
586711	588812	Hobgoblins were in control of it.
589313	591894	The diversion worked.
593135	593916	We snuck in.
594736	598079	We got as far as the Inner Sanctum to try to find Fairwind.
599520	603823	He was found by Paul's Lizard.
605804	608506	And that's the part where I... Paul's Lizard?
609527	610448	Yeah, he's got some...
612578	614439	A homoculin or something he called it.
614479	615260	I don't know what it is.
