start	end	text
171	15077	Yeah, so when we get to shore... Second of Wealsun, around 5pm, as Paul Rivero and Jude, with a detachment of marines, walk down the pier towards the home island quays.
15877	19298	As an aside, is Gouge in the group that's going shore with us?
19638	23099	No, he got off on the boats for the southern islands.
23159	24720	I mean, the southern lighthouse.
24960	25660	Yeah, okay.
29122	32824	Okay, so we're just looking to see, does anybody come out to meet us?
32904	36546	Does anybody, as we approach, is there any more evidence?
36566	42409	You know, because that's the most unusual thing is no ships and no patrols.
43009	46932	So are we talking people-less as we... You guys walk down the pier.
47112	47372	Yeah.
47812	49113	And as you walk down the pier...
49773	51553	Nobody is there, right?
52074	55074	And you don't see anybody on the stairs of the quake.
55114	69517	The dock you're walking out, there's a stairwell that goes up into the upper area of the island, just right in front, maybe I would say 60 feet from where the dock ends.
70118	73278	Is there a signal that we need to give to the captain of the ship to let him know?
73458	76179	Because he had said if there's no harbor master that comes out.
77243	80305	Well, he's right there and can see you.
80605	86910	I mean, he's maybe 300 feet away from you on the boat, and you assume that the sergeant is going to be doing that.
88130	91733	So, again, are you beside the sergeant?
92153	93214	Are you behind the troops?
93254	94254	Beside the sergeant.
94515	96556	I want to pull him away a little bit.
97136	100038	And I want to be like, look, I don't want to step all over your command.
100138	102180	Well, no, I mean, okay, where's the sergeant?
102700	104302	He's basically leading the troops.
104342	105483	Yeah, but I pull him aside.
105523	107024	I'll be right behind him.
107044	107985	No, no, no, that's fine.
108005	108965	That's like marching order.
109086	115431	I'm saying I pull you aside real quickly, like, while we pause, while we're waiting for, like, a dockmaster that doesn't come.
116111	122676	And I just pull you, like, you know, ten feet to the side, and I just kind of lowly say, I think the crossbowmen need to be, like...
123717	123978	Right.
124358	125799	Like, quarrels.
126580	126980	Seated.
127821	133926	Because this has now reached a whole new level of potential bullshit.
133946	135126	We have no harbor masters.
135167	136127	Is this harbor just empty?
136207	137148	It's like nothing?
137248	137829	Dead quiet?
138129	139030	It's dead quiet.
139070	139350	Yeah.
139470	139730	Yes.
140371	145135	So, I'd like you to at least tell them, you know... Tell the sergeant.
145155	145875	Tell the sergeant.
145895	147777	Because we're still gonna have to proceed.
148878	153081	Which I would like to suggest we proceed as if we are walking into an ambush.
154560	155901	You don't have to tell him that.
155941	157061	You can tell him if you want to.
158842	160243	I think it should still come from you.
160283	170067	Okay, so you guys are reaching the end of the dock, marching in a column, you being next to Jude and this other guy, the sergeant.
171127	178751	Yeah, I'm going to tell the sergeant to ready his crossbow.
179091	180812	Ready your crossbow squad, please.
181332	182392	You say that to the sergeant?
182452	182692	Yeah.
182792	183733	He looks at you and goes,
186316	186697	Yes, sir.
188458	188839	Halt!
190541	191161	The mid-stop.
191622	194145	At the edge of the docks, right?
194165	194565	She's fine.
195086	197288	He goes, crossbow and arm!
198169	199771	They began loading up their thing.
201613	204096	I'm looking at any of our- Do we need to create a shield wall, sir?
204856	205077	No.
205277	206238	Let's just keep moving.
210195	210735	To the quay?
211735	211935	Yeah.
211995	212576	To the stairs?
213116	213336	Yes.
213396	213936	To the stairs.
214196	214456	Okay.
214996	215796	But let's be ready.
216016	220238	All right, so you guys began... Maybe we should send the guy back to tell him that there is no harbormaster?
220518	225799	No, he was... That's what I had already asked the DM, and the DM said, like, you know, the captain can see us.
225839	226479	Oh, he can see us.
226519	226779	Okay.
227139	230680	And the captain even said, if there's no harbormaster... Just keep going.
230780	232281	That's like next level problem.
232601	232841	Yeah.
234121	237322	But we need to be ready to... Do shit.
239825	247011	All right, so you guys begin moving forward, marching forward with the thing.
247051	250693	The crossbowmen load up their weapons before you guys proceed.
251634	260301	Since I actually don't see, see, I was worried that maybe some of the, any infantry on the helm might be, actually, I don't need to, this is just metagaming.
260741	261642	I'll have my wand out.
262042	263103	Okay.
263564	265925	All right, so, Jude readies his wand.
266586	267206	What are you going to do?
268788	269048	I mean,
271406	272527	My knife's already sheathed.
272587	274769	I'm not going to whip it out, but you know.
274949	276551	Well, do you want to load your crossbow?
276611	277812	Is the crossbow and load theirs?
278092	278593	Yeah, sure.
279153	286260	Okay, so you pull out your crossbow and put a coral in it and a bolt in it and begin walking.
288062	288842	Roll perception.
290124	291545	I'm keeping an eye on those hard points.
292906	293146	Okay.
294517	297564	It says I have expertise in perception right here.
297584	301092	So what that means is that your perception
303278	304959	I think it means it's just doubled this.
