start	end	text
1900	10880	The evening of the Second of Wealsun, after the battle at the Southern Garrison, the sun begins to dip over the mountains to the west.
12508	13729	Have I had any recovery time?
14330	14890	Yes.
15611	20975	Gouge decides for a short rest as do all the men in the unit.
21516	25700	So basically if you're wounded, roll your dice if you want to do that.
25940	28002	Yes, at how many for a short rest?
28522	35208	You can roll as many of those six that you want, but remember you can only do three short rests and if you use all six die in the first one,
35548	37049	You have none left for the rest.
37129	38550	Until tomorrow.
38850	39351	Until tomorrow.
39371	40591	Until a long rest happens.
40752	41852	So you're going to do two.
42393	42933	Start with two.
43313	44134	Okay, roll those.
45355	48297	Eight and a four plus four for your constitution bonus.
48337	51018	So that's 12, 16 you get back.
52940	55862	12 plus four because you rolled two guys.
55882	56362	Yep, plus four.
56442	57483	Okay, so 12, 16.
57523	58183	You're right.
66106	69447	These men that are hurt, can I roll for them?
69527	70108	Yes.
70928	72169	And let's see about this.
73149	73669	How's this one?
74330	77031	Probably bad too.
77271	78051	So I got 16?
78651	80352	So there's...
80792	84994	There's one, two, three, four, five, six, seven, eight men that are wounded.
85454	86375	Eight men that are wounded?
86435	88536	And they get one die eight.
88556	89416	No, one die ten.
89956	90476	One die ten?
90577	90837	Yes.
92297	93378	So... Is it a clear night?
94890	96030	It's going to be a clear night.
96130	96810	What kind of moon?
97231	100051	Actually, it is going to be a...
103672	104952	It's going to be pretty dark, actually.
104972	107872	I'm going to roll one more, so I'm going to use three of my six.
108873	111673	Eight, that is ten more that you get back.
111753	116634	So you use three, so mark that.
116874	121315	While our short rest was happening, did anything else happen with Paul Reb?
121335	122555	So I'm going to say...
124507	126008	Three used.
127629	128749	I'm only down two hit points.
129009	129630	Okay, good.
130110	136493	So now... Well, you didn't see anything else happen, but we'll get to that after we do the short rest.
136693	138374	So, four of them?
138434	139014	The first four.
139274	140235	First four.
141535	142236	Pick a die.
142376	143216	First one gets six.
143656	144297	He is healed.
145737	146117	Next one.
146398	146878	Gets four.
147418	148438	He has one off him.
149439	151200	The old character that we used to use.
152552	153553	The next one gets two.
153573	154935	He's still got ten off him.
154955	155776	The first one is ten.
155816	156677	Make a little counter.
156937	157778	The next one is six.
157838	158779	He has four off him.
158799	159480	The next one is nine.
159500	160060	He is healed.
172768	175669	All right, so my guys are getting good.
175789	179430	Okay, so there's two guys that still are a little bad off.
180370	184812	One has 60 points off them and the other one has 10 that maybe should not go into trouble.
184832	190934	Do we put them out of their misery or we let them keep healing or we'd use them as goats out in front for if we're going to do something?
191094	195495	So if we got to sacrifice a couple, it's those two.
196055	196535	Can I check?
196615	197376	I want them just one eye.
197396	198956	We don't want him to go down.
198976	201717	We got corpses up where I was shooting to see if I can get any arrows back.
202422	202922	Sure.
202982	207825	In fact, roll a survival roll to see how many of your arrows you can get back.
208246	209026	Tell me what you roll.
209046	213289	I got an 18 plus 6.
214189	217191	You get all your arrows back.
217652	221434	Hey, you guys was talking with Merrick there.
223335	224836	He's very familiar with the island.
225476	230399	We should be okay staying on high ground off the beaches from the shark things.
233640	235341	Depends on what the moon is tonight.
235501	250249	I don't know who knows what that is, but these other creatures, the hobgoblins at the barracks, probably have InfraVision, but I don't think their distance will work, and if we got any type of moonlight it'll be ineffective.
250329	252271	So at night we should be able to move fine.
255052	257253	We're thinking about making the move at night.
259000	267526	The island should be clear of any type of creatures because this is not a big island and should have been cleared from what he said.
267786	271969	That's what our guess is on the knowledge that anything here would be dead or hunted.
271989	275451	Do I know anything else today?
275651	279354	You know that there's really no creatures that live on the island.
