start	end	text
2069	15854	Paul Royero waking up the next day after he went to the large market to buy his clay, refocusing his efforts on creating a homoculi spy with some good clay.
16555	16835	Okay.
17375	21176	So, you wake up next morning around 9am.
23137	26978	The servants inform you that a man has been delivered.
27879	28459	A young man.
29501	31122	To the dungeon at your request.
31802	32042	Yes.
34423	34764	Okay.
36865	40186	Obviously they were checking with you to make sure that that was correct.
40266	40526	Yes.
41887	42227	Alright.
42527	45129	He got a crossbow, hole right in his chest.
46209	46449	Here.
46849	48570	Yeah, that's my guy.
51752	52772	To be treated well, sir?
53152	54053	Yes, just leave him.
54533	55974	Shall we tend to his wounds?
57715	58555	Make sure he's alive.
59164	59364	Yes.
61206	62326	They're a little creeped out.
63707	64888	With my mask, probably.
64908	65949	Yeah, I can imagine.
65969	67530	So you're still wearing the metal mask?
67590	69672	I assume I am, probably.
70132	71273	You didn't sleep with it, I'm sure.
71333	71874	No, I didn't.
72834	77478	Maybe I should get like a palace mask that's less intimidating.
77498	80140	You have a palace mask, but actually you're liking this.
80280	81261	Yeah, I do like it.
82906	83707	It's more comfortable.
84307	89110	The metal is lighter and it's easier to breathe in.
89130	93733	The leather mask is hotter and actually rubs against your skin.
93773	97956	For some reason, this is much better made.
99317	102339	You get your cistern and refill it with clean water.
105232	108095	Drop of your blood into the mix.
108656	111920	Taking out your, how much of the clay do you want to have?
112500	114322	Enough to make a small one.
114362	116745	I mean, I got 30 pounds worth, so I'm not.
116805	118006	So you grab a piece of this place.
118087	119508	I take whatever it is I need.
120189	123833	And roll, make a, make a lizard animal roll.
125217	128158	And it'll be waterproof too, so that'll be nice.
128878	132679	And you begin to shape your homoculi.
133519	138861	Four hours go by as you begin to create this critter.
140321	141041	Again, roll.
141441	142102	Is the clay good?
142302	144282	The clay will give you a plus two.
144842	151264	So it's plus five, your arcanum, which is plus three, plus two is plus five to whatever you roll.
152685	152985	Okay.
153005	153925	So if you roll a ten,
154815	157057	You make a homoculi with zero hit points.
158638	159399	Okay.
159459	161880	But you want to make one with at least one hit point.
162301	166024	If I roll a 20, would it be 25, so 10 hit points?
166524	166764	Yeah.
167224	167525	Okay.
171348	171768	16.
171868	172328	16.
172548	172969	Okay.
174110	175230	16 plus 5 is 21.
175251	175911	Six hit points.
176391	178333	Which makes a six hit point homoculi.
178353	178833	That's nice.
179113	183657	You create a little creature very similar to a lizard.
185001	188563	And then take the Hearthstone and put it on its chest.
192384	206751	Taking the Fallujah in front of you, you say the magic words again, lapis the Glossophorum, and the creature twitches and begins to move.
208592	213955	You focus your mind into the Mind Stone, correct?
214215	214455	Yeah.
215098	215398	Okay.
215698	217859	To like tell it to walk forward or something.
217999	218719	What do you want to do?
218799	220019	What do you want to say for it to do?
221539	222679	Take two steps forward.
223840	224160	Alright.
224760	230541	Your mind is grasped by this entity.
230561	233161	All of a sudden a very strange effect happens.
233721	240423	You begin to see from the perspective of the small creature as it comes alive.
240463	241823	Do I like hear from it too?
245608	247330	Well, you don't know because there's nothing to hear.
247350	247690	Okay, yeah.
247730	254376	But you look as you take your first couple of steps as a lizard forward.
257138	262443	All right, I'm gonna walk or crawl out the door.
263784	266286	Can I like change my color to fit in with my story?
266366	266967	Like is that...
268215	268715	The lizard?
268855	271096	Yeah, because it said it blends in with its surroundings.
271256	272937	Well, I mean, no.
273617	283282	I mean, so the thing is that the homoculi, if you want to make them more powerful, there are variations that you can use on this.
283722	285002	That was said in the book.
285283	285583	All right.
285783	290585	But this is the most simple kind of homoculi you can do, because it's so small and so on.
290745	293546	This is your basic start-a-kit homoculi.
294006	294347	Yeah.
294467	296207	All right.
296528	297228	I'm going to...
298785	304450	Walk out the door under the crack of it if it can fit.
304510	317240	So you basically use the Mind Stone to guide the homoculae and it's kind of a weird sensation because half your mind is seen through the eyes of this creature and the other half of your mind is seen through the eyes of yourself.
317741	323485	And you realize that when you control the homoculae you have to be very careful about
326200	327881	Your surroundings when you do it.
328682	333345	Can I do stuff in mind and do something in mind?
333385	340130	You can, but you realize that it will take some time before you become an expert.
340490	344533	In other words, be able to control both things and have concentration in both ways.
344773	347295	However, it's not like when you're using the homunculi.
348698	349799	Everything is gone from you.
349940	353083	It's not like your eyes become its eyes or vice versa.
353143	354765	It's like driving and texting at the same time.
355106	355626	Exactly.
356127	356607	Exactly.
357288	358109	Right now it's that.
359481	363724	Okay, I'm going to, can I like crawl up the side of a wall?
364965	367146	You make your Immokuli crawl up the side of the wall.
367386	369348	It seems to have the ability to do that.
370268	373750	However, it cannot crawl on the top of the ceiling.
373931	374731	Okay, that's fair.
374791	379474	But the wall it can grasp, and it can grasp it as if it were a lizard.
380035	381255	But it's not like a spider.
381515	382156	Yeah, okay.
383857	385118	Alright, can I...
386728	389789	Find two random people having a conversation.
390130	394071	Okay, so you want your homoculi to go out into the...
394432	395492	It could be just in a hall.
395912	396333	A hallway.
396793	397473	Yeah.
397493	399094	And sneak along the hallway.
399134	399274	Yeah.
399434	400555	On the floor or on the wall?
401075	402976	On the wall or whatever sees them.
403376	403856	Okay.
404216	407458	So... And you want to stay in your room?
407878	408078	Yeah.
408818	411860	The homoculi actually moves fairly quickly.
413147	416668	And the one you created has tiny wings.
417808	418248	Oh, nice.
418569	421509	That allow it to fly if you want.
421649	424790	Can I fly across to the other wall?
424870	425350	You can.
425370	426771	You can jump from wall to wall.
426971	427411	Awesome.
427611	434373	You don't really want to do that very much in a castle because it would probably attract attention.
434393	434793	Yeah.
435233	438254	But it's something that the creature can do.
439654	442235	So you walk down the hallway out of your area
444085	448668	And look into the passages that go to where.
448688	449749	Do you want to go to the kitchen?
449769	450629	Where do you want to go?
