start	end	text
1638	7482	Third Wealsun, Jude's conversation with Lord Jamis continued.
9324	17830	So, what might also help me in any future work with you, and I don't know if you can give me a kill on sight list.
19950	22051	But it would have been nice to know if you...
22211	30576	I mean, I was acting on my own accord, thinking that we needed to bring Fairwind here, but if there's ever anybody... At this point, Fairwind is not a kill on site, Jude.
31377	32898	I do not want him assassinated.
35579	39462	The fact that he is not fully aware of the political situation...
40763	53353	Means that in the future it's possible he could realize that his loyalty lives with the Sea Principality and the Prince of Toli is actually the one that is more dangerous than Jeon.
53974	57457	And that this game he's playing weakens himself.
57677	62501	I don't think any of the princes will survive what the Tolis want to bring.
62541	63542	This is what I agree.
66318	67658	How is Monmurg set?
67878	76220	I mean, just on the embargo, food, are we suffering mass desertions?
76281	77081	Are we able to keep...
77501	78661	The situation is dire.
78721	80342	Our stores are going down greatly.
80642	83662	We do get some food from smugglers that go to Red Shore.
84323	86643	That's where the majority of the merchant ships are.
87043	88263	You saw this yourself.
88283	89604	You brought me the information.
90024	93865	My spies have verified what you've said.
96329	104193	I find it interesting that Red Shore approached you and you had discussions with him and I might have more to say on that in the future.
105754	107094	There may be an opening there.
107814	110816	I may send you as an envoy to talk to him in the future.
117075	131245	Again, I believe that not only is Fairwind and Jeon being played by the Toli, I have a feeling that the Sea Principalities and Keoland itself are being played by other nefarious forces as well.
132085	133126	This is dangerous.
133866	140851	I don't know if you know much of what is happening in Keoland at this point, but it seems like a civil war is imminent in that country.
141151	141632	Between?
142752	144193	Well, the Dukes.
145454	146495	The Duke of Gradsul.
148717	160222	Who for all intents and purposes should have been crowned king some decade, 12 years ago, was denied that and has been trying to become king ever since.
162303	176429	The king that was appointed 12 years ago, this unknown Iridium from the back province called Greyhill, Kimbertus Scotty, recently died.
178912	181935	And so there is no king sitting upon the lion throne at this point.
182175	183977	Is there any suspicion that he was assassinated?
186219	190743	Well, the royal alchemist died a month before the king died.
191944	195828	And so it is very suspicious what is happening.
199371	204778	Is Gradsul, the Duke of Gradsul, the greater problem for the Sea Princess or for Lord Jeon?
204858	209844	In fact, I'm just going to suggest that Lord Jeon is the only one that I'm talking about when I say the Sea Princess.
210725	215150	Because we're on the verge of civil war with the Toli and depending on where Farewell is.
215190	217133	I think it's already started to be honest with you.
219601	240997	When you talk to Lord Jeon, Prince Jeon, do let them know that Fairwind, I had made a comment about taking the island back from the hobgoblins as a necessity for Monmurg, and he responded that he thought that Monmurg would fall without the helm.
242709	245050	So he knows at least the gravity.
245570	248171	He understands exactly the gravity of the situation.
248272	251353	And I think that, again, he's playing a very dangerous game.
251953	252733	I have no idea.
252753	261777	I mean, to be honest with you, he's always been jealous of the prosperity of Monmurg, the money and such.
262798	271742	And I think he's been outspoken in that he believes the negotiations with regards to slavery with Toli and Berkhoff are unnecessary.
273688	284374	He thinks it's idealistic to try and stop something that predates our country in truth.
284594	285455	But these are minor.
285655	289557	Why he has gone to such lengths at this point is beyond me.
289597	290618	It's very dangerous.
291618	296661	And that is something I would like you to try and ascertain, if you could.
296982	300464	There are several things I want you to try and figure out, that being one of them.
301564	302665	The second one is this.
304611	311599	The salting ships did salt the seas before the helm was able to do what it did.
311619	314001	Why did that not take effect?
315163	322731	Was some magic cast to cause the substance to not do what it was supposed to do?
325867	332308	Could it be that Lord Fairwind was replacing the barrels as he took them?
332448	334589	I need to know that.
335909	345450	If it is that he basically changed the barrels and put a substitute in there that was not effective, that would be even more treasonous.
346130	348771	More evidence of what he'd been doing.
350771	354792	Or is it the substances becoming less effective?
355802	359105	Or the sahaugin learning to overcome it?
359165	363608	Or is it that there is some counter-agent that can overcome this?
364469	368092	I want to know that and I think that you should be investigating that.
368832	372355	Is the tower equipped with anything or is it just housing?
372976	374677	I'll have whatever you want brought there.
375438	378080	And of course you can take books to and from for your own research.
380081	383444	Now there is another matter and to be honest with you I am
388466	400213	Hesitant to ask this, but Prince Jeon has insisted on it.
401253	408898	He believes that Paul Rivera will make an excellent wizard and he wants you to tutor him.
410199	411199	Is Paul interested?
415122	417343	Jeon is going to push him in that direction.
420306	423707	I mean, I can see what he's, if he's got a natural talent for it.
423887	425208	Did he make that homunculi?
427008	427268	Yes.
429249	430269	Okay.
430789	430909	Hey.
431329	432590	I'm gonna go to the store.
433670	436591	I think Roman's gonna go with me so he can catch me up on his life.
436831	437271	Get some beer?
437291	437851	Well, yeah.
438412	439232	Want me to get you a beer?
439832	440112	Beer.
440152	440592	Twelve pack.
440932	441433	Yeah, okay.
441453	442033	Nothing.
442053	443553	Whatever, IP, whatever you guys like.
443573	444453	You like the romadella, right?
444513	444694	Yeah.
444854	446154	I like what you guys like, though.
446694	449015	I mean, I'm not gonna drink more than one or two, so...
449681	450041	Okay.
450921	455502	Hey, um... Then we won't get Napoleon Zello.
455943	457143	Yeah, get whatever you guys like.
457163	465785	I don't know if you want me to show like a resume to that superintendent lady, but I'd be willing to.
465845	475627	But I mean, it's not anything in a hurry because like if you guys maybe or maybe not coming back in March or April or even if it's for next year, just sometime in the next four, five, six months.
475667	478648	Because what I can do is I can kind of like put it in front of the person.
479690	480344	Let her see.
