start	end	text
11293	12374	That opium stick.
17016	19037	It was... black.
20557	21278	Kind of thick.
23019	23579	Tainted with?
23599	25700	Mmm, I don't think that.
26920	27701	You awaken.
28941	30422	You don't know at what time.
30522	36945	You awaken and actually your dreams have been very, very vivid.
39486	40687	You remember a time
45667	49329	You remember a time in this room when you were a child.
49549	50750	The memory came back to you.
51710	64136	But obviously this incense that you've been using is much stronger than the ones you're used to.
66778	74902	So you get out of bed and wonder what time it is, putting your hands on your eyes, kind of wiping them off.
80106	89408	You feel scratching and itching in your skin and you scratch on it, but you soon realize that it's not really your skin that's itching.
92689	94970	It's your mind that's itching.
96130	99011	There's something that you remember as a child.
99271	100391	It's a nervous response.
101151	102952	Well, it's a realization.
103692	107753	And it's like, you ask the question, do I have any kind of memory as a child?
109521	112524	One of them comes rushing back.
116849	117690	It's your friends.
118390	119391	Your little friends.
121033	122014	The little gnome guys?
122515	123115	Exactly.
126118	126399	Alright.
128201	128681	Where am I?
128701	131164	Am I in like a magical forest or...
132080	133261	No, you're in a room.
133661	135121	A room filled with...
135582	136922	In my dream, in my dream, I mean.
137202	138243	I'm saying that.
138823	147827	You're in a room filled with... Well, wondrous things.
149648	151889	And your mother is close.
154630	160053	But through a door, there's just so many interesting things.
160193	160753	Bottles.
162979	163679	Devices.
164540	165160	Potions.
166601	167681	It draws you to them.
169922	170322	Okay.
172403	173623	Anyway, you sit up in bed.
175664	176365	Do an int check.
180506	181647	What's this, plus three?
181847	184628	Wow, that was a horrible roll.
184888	185388	What'd you roll?
185688	186029	A four.
186049	186709	A four.
186729	189070	I think it would stop my bag because of it, but...
189090	189350	Okay.
193199	194479	There's something missing.
195020	196020	There's something missing.
202342	203323	The opium smoke.
203343	206164	I was going to say that opium really hit me hard.
206744	207984	It's heavy in this room.
208104	210065	I need to cut those sticks in half.
210445	214807	What do you want to do?
216257	217479	I want to get out to my balcony.
217779	220442	Okay, so you... Fresh air.
221523	224206	I am off my hinges right now.
224546	227750	Okay, so you rush the balcony and...
230320	234182	Basically, come out here and look down.
234582	238284	And you look down to the royal docks and there are ships down there.
238984	244767	These are where merchants, select merchants come and take the palace supplies and stuff like that.
245128	249990	You see that they're down there unloading and so on.
250130	254933	And then, lower down on the cliff, you see lights.
256413	267076	In the residence that's lower down than you, and you know that that residence actually belongs to Lord Jamis, one of Prince Jeon's most trusted men.
267256	272337	Actually, Lord Jamis is the admiral of the Monmurgian fleet at this time.
274818	275638	That's what you see.
277439	281220	You breathe in the sea air, and your head clears.
285812	286733	But the dream doesn't.
291817	294860	You remember living in this room, actually, as a child.
295240	299784	And you remember living in this room before the accident.
303488	308372	But you also remember that there was something else.
308892	313056	There's spaces missing.
315538	315958	Okay.
319760	322681	Like, the room's like cut in half, or?
324662	326382	You thought there was more to it than this.
329984	335005	You remember sleeping here as a child, you remember eating here as a child, you remember being on the balcony again.
335026	335646	Okay.
335706	337126	But you remember other areas.
337166	342949	In particular, you remember that magical room where you and your mother would go and
345148	346569	You have a very vivid memory.
346609	348150	That's where you played with your friends.
351171	352392	Let me check out the closet.
353572	353933	Okay.
355814	358275	Is there like... Can I roll to see if there's something...
358715	362157	So you walk over to the closet and you start...
363478	365979	There are like clothes hanging in the closet still.
366299	371582	Clothes that are like old from your childhood when your mother was there.
372708	373008	Right?
374450	381156	You have your stuff in front, but there's a lot of stuff in the back that is there also.
383097	384338	Do you want to take that stuff out?
384959	385199	Yeah.
385579	389803	Okay, so you do stuff, start pulling whatever out.
389883	390144	Yeah.
394547	395829	You get to the back of the closet.
397850	398351	What do you do?
399806	403710	Can I roll to do an investigation check to see if there's anything?
403730	407694	Hidden door, boarded up wall, something.
407734	408234	Absolutely.
408615	409696	Roll your investigation.
410236	411978	Alright, let's hope the opium wore off.
413840	414480	Oh, no it didn't.
414520	415141	Five.
415261	416282	That's a nine.
417003	417584	That's no good.
417804	418504	That's a five?
419688	422249	This wall has been plastered up.
422269	424669	And in fact it's not, it's not stone.
425210	426350	There's some kind of...
447794	449675	Veneer that's been placed over this.
455537	456177	What's a veneer?
457077	463619	It's like, you know how you have a floor and you put like a thin layer of wood over the top of it?
463779	470962	It's like concrete but you put a thin layer of veneer of wood over the top of it to basically hide the fact that it's...
472094	475475	I don't know what's on the other side of it, but...
490695	491455	Can I break through?
492456	493177	How do you want to do that?
493197	494457	Do you want to take your dagger and pry it?
494477	497779	Can I use my intelligence to figure out how to pry a nail loose or something?
