start	end	text
1512	11202	Paul Rivero going through the letters of Grayson to his mother, Lady Elyria, after he's done his adventure.
12523	23693	This is the day after he snuck into the secret laboratory between the Royal Palace and what he notes to be Lord Jamis' residence.
26295	35139	Okay, so right here in this, it talks about the, there's like a transmutation school.
35799	37080	Do I know where this place is?
37200	42182	It's the Alchemy Caves.
42662	45964	You've never heard of the Alchemy Caves, right?
47004	50886	What is your skill with Arcanum?
54425	55066	Uh, three.
55667	56328	Three, okay.
56648	63576	So I want you to take a 20-sided die and roll your...
63956	66439	It should be a...
67059	69642	I don't have a... You don't have any skill set yet.
69662	71324	Okay, that's perfect.
71344	74187	So roll, and this is a DC 10 roll.
74287	75669	So if you roll a seven, you'll...
77827	88334	Okay, so there is a country called Keoland, and I think that this is in your Histories of the Sea Principalities, which I've given you.
90516	98161	And the country of Keoland has been in conflict with the Sea Principalities for some time, right?
98281	100383	At least over the last, I would say,
103318	105640	80 years.
106621	109604	There's been friction between the two of them.
112206	114188	Keoland is a really big empire.
114708	119432	It's made up of a lot of different dukedoms and kingdoms and so on.
122415	126939	And militarily they are far superior on the land.
127770	129190	than the Sea Principalities are.
129610	136351	However, the Sea Principalities have been able to maintain their independence from them because their navy is so great.
137212	147753	And the Sea Principalities is isolated from Keoland by the Ajer Sea, which is here.
148254	149014	Here's Monmurg.
149314	152794	Here's Keoland, and it's huge up here, right?
153554	156435	And then a big river called the Hoole River and great swamps.
157167	157408	Right?
157989	162619	So Keoland, the only way Keoland can really get to the sea principalities is through the sea.
163472	169993	And that is impossible because the navy of the Sea Principalities is far superior to anything the Kiowish have.
171434	183536	I'd say the biggest rival of the Sea Principalities is this dukedom in Keoland called the Duchy of Gradsul.
184396	187917	And the Duke of Gradsul has a pretty big navy himself.
188837	195200	I would say it's probably about half to two-thirds as big as what the Sea Principalities have.
195940	199401	And the sailors are not nearly as good, right?
199902	200162	So...
201649	213079	Whatever the case, however, the Duke of Gradsul, in history, the line of the Dukes have always kind of had an animosity towards the Sea Principalities for various reasons.
214800	228752	In fact, you know that historically back in probably, I would say, more than 100 years ago, one of their kings, Tavish III, tried to attack the Sea Principalities and attack this
230560	231561	In Gratzl, there is a magical academy
255680	262082	In this letter, basically this guy Grayson was going to school in the transmutation school.
263442	264922	Some way he got into that school.
277786	279489	Now, I'm gonna say this.
280390	284476	You gotta understand that there are rivalries between nations, right?
284856	287640	But there is still some diplomatic goings on.
287740	290344	Do they let, like, travelers through, or...?
291487	292647	To the School of the Academy?
293088	308833	Well, from what you understand, the Magical Academy in Gradsul is pretty accepting of all types of peoples, but they kind of focus on the upper class.
310194	311916	The Duke of Gradsul.
324547	326468	Paul is a very powerful person.
326548	328349	Right now he is not the king of Keoland.
328849	336654	But his sires, you know, the people that came before him, his ancestors, have been kings of Keoland.
336694	343558	And in fact, Tavish III was one of the Rolla kings.
343718	346920	The Duke of Gradsul had risen to the throne at that point.
347180	350862	Keoland has a really weird thing where they have a ruler.
351222	352283	I don't have many other questions.
352303	352523	I mean...
352563	353343	So wait, I do have the...
379559	384702	The statement in the letter is, I have been working tirelessly on recreating the pale yellow powder.
405559	409902	The very weapon that once turned the tides against the sahaugin.
411863	419768	Its potential is immense and I am driven by the hope that it will secure peace and prosperity for our beloved sea principalities.
419788	424712	So, transmutation is a school of magic that basically takes matter and turns it into something else.
425823	434706	Alchemy is part of that as well, but it seems like the yellowish powder was used against the sahaugin.
435046	444849	Now, the sahaugin are a race of sharkmen that have threatened the sea principalities in the past.
444869	451312	In fact, you know that there was a war a long time ago that was fought between the sea principalities and
452826	455187	The, uh, sahaugin.
455687	456008	Okay.
459990	468094	Does it mention what this weapon does, besides... Because I didn't see it mention anything, so I'm curious.
472396	481040	Well, um, so... Interestingly, in Grayson's letter, it doesn't mention exactly what this thing does.
482095	491743	However, from his description of it, he basically says it's something that will keep your people safe from any sahaugin threat, right?
493564	493924	Yeah.
495406	500530	Now, what's interesting is, in the first letter,
502207	503908	He mentions this guy Archibald.
504588	505328	Yeah, I don't...
505869	510251	He's mentioned two or three times throughout the span of these four letters.
511351	519375	What is his relation to... You have never heard his name uttered by your mother or anybody in the royal court.
521556	521956	Interesting.
525617	531320	I also know that my uncle is apparently mentioned in here, Zafar, or my mom's uncle.
533872	536694	Um, his name is, uh, Zafar.
537114	538014	Or Zaf.
538034	538535	Zafar.
538735	539795	Zafar, yeah.
539955	540456	Azane.
542917	545238	I think it's, yeah, Grayson's uncle.
546239	546719	Is that right?
547059	547300	Yeah.
