start	end	text
1711	4372	Second Wealsun, round 9, 15.
5252	13215	Paul and Jude summon the garrison captain to have a discussion regarding the helm and the defenses there.
13955	21337	Okay, so the captain comes in and says, Prince Elf, how can I help you?
23298	29920	Yes, Captain, we would like to know how much hobgoblins, if you had to estimate, are on here on this island.
34027	39089	I can tell you that we have seen at least a hundred.
42070	47412	We have noticed hobgoblins coming in and out of the garrison, the helm.
48592	50313	How they got there, we have no idea.
50353	58016	I assume that they captured the helm and the guards that were there, which was 150 strong.
58516	61177	But we've only seen about a hundred patrol this way.
62418	70923	There have been groups of 20 to 30 that we've seen on other parts of the island.
72284	76387	Also, the different beacons
77517	78538	They've all gone blank.
79418	81700	So obviously there are hobgoblins there.
81980	93567	We don't know if there's one squad, two squad or whatever, but I would assume that considering the number of men we had there, there were at least 20 to 40 that attacked and took that place to take those places.
94128	94908	That was possible.
95309	97550	This includes the Southern as well.
97850	103354	And I think we were signaling to them and they basically said that
104888	107330	In that island area, they encountered 50.
107770	110432	They've killed 20, but that leaves 30 more.
110532	115575	So, all told, I think we can safely assume there are more than 200.
115595	119678	That's what I was estimating.
119718	125962	That seems to be something that a warship would carry.
127283	133847	However, for some reason, we have not been able to see a warship in the docks.
136202	141363	Is there any place where a warship could anchor and offload on the other side of the home?
144284	146505	Is there any safe anchorage?
147465	157508	Well, I mean, if there's safe anchorage and they were doing it during the night, or they had some inside men, otherwise, I'd have to assume something much worse, which could be they have some sort of...
157528	158388	It was the fog storm.
158809	159249	The storm.
160835	164037	It completely made our visibility...
164257	165458	So you couldn't even see the bay?
166098	166959	We could see nothing.
167199	167900	It was soup.
167940	169541	You couldn't see five feet ahead of you.
170761	174504	So they could have snuck in under that, and that's what we assume happened.
174944	180768	However, when it cleared, our lookouts would be able to see this direction, this direction.
181248	185751	We couldn't see this direction, but we know from these men, there are no ships on that side.
186604	188606	So I would say if there is a ship...
188746	193450	Right, but if they were transported in, then it would have been during the fog.
193670	194531	It would have been during the fog.
194551	195452	They could have landed here.
195872	196133	Okay.
197894	200376	And there still could be, so there is some anchorage there.
204540	205981	There's an approach to the beach.
207100	212966	They could anchor off there and then they could use longshore boats to get off there.
214348	216330	How they took the helm, though, I have no idea.
220134	224459	I mean, it could have been at night, but how they got into the gates...
225360	226201	I would assume...
227449	229570	It would be impossible, I mean...
229710	238034	I would assume that they had an infiltrator, or a sagitturum, or... And somebody lowered the drawbridge, or the bridge.
238414	247359	There's no moat, however, there is a ramp up to the entrance, and there is a drawbridge that lowers to allow people into the keep.
247899	250420	The fortifications are impressive.
251721	256123	If they have 150 men, they can basically defend all sides of it.
257825	262027	Just as an aside, and if you have no knowledge of this, that's fine.
262567	266249	Is fresh water brought in from the outside, or are there wells?
267730	268830	Fresh water is shipped in.
268870	271891	There is no fresh water naturally occurring here except through rain.
272292	273972	There are cisterns.
274052	279135	When it rains, they capture it, and that's how most of it gets here, but fresh water is usually required.
279155	283477	Is there any kind of a subterranean sewer system or anything that goes out?
289626	309623	He kind of looks at you and then he looks at you and says, well, this is a state secret, but I assume since Prince John sent you here, you can know this.
313786	317690	There are supposedly secret entrances to underneath the helm.
319433	333583	There is a cave system that is navigable by boat, small boat, into a subterranean cave system underneath the helm itself.
334704	340008	This was once an old smuggler's fortification hundreds of years ago.
343831	347974	I've never been there, and it's something that the Admiralty does not let anyone go into.
349279	355063	But there are rumors that it's on this side of the island.
355344	357485	If they had knowledge of that, they could have penetrated.
358406	364530	It's possible that could have been an entrance, but how they got up through the underground caverns is another thing.
364891	366152	I have no knowledge of this.
366772	367593	This is a rumor.
367973	368734	Of course, of course.
369614	374337	But I did ask about subterranean sewage system I was concerned about.
374637	383643	Mostly I was asking because I was concerned about the sahaugin being able to penetrate anywhere on the island through any kind of like water access tunnels.
384803	386204	This is what is strange.
388726	392668	Historically the sahaugin have never been able to come to this island.
393909	397031	This island is supposedly protected by a magical
400305	403246	Enchantment that kills sahaugin as soon as they come.
403726	407087	Sharks cannot even come near the waters here within a mile.
407407	409168	Who maintains that or is that...
410248	412148	This is the way it's been for a hundred years.
414989	421311	The fact that the sahaugin are able to reach these beaches puts us at a great disadvantage.
